Société_de_facturation;Société_de_livraison;Code_avancement;Numéro_de_commande;Numéro_de_version;Date_accordée_au_client
01;01;M;C01/PUH297;2020-11-25-06.52.49.280000;01/12/2020
01;01;M;C01/PUH297A;2020-11-25-06.52.49.329000;01/12/2020
01;01;M;C01/PUH302;2020-11-25-06.52.49.365000;27/11/2020
01;01;M;C01/PUH311;2020-11-25-06.52.49.399000;27/11/2020
01;01;M;C01/PUH311A;2020-11-25-06.52.49.441000;27/11/2020
01;01;C;C01/QES156;2020-11-25-06.52.49.544000;26/11/2020
01;01;C;C01/QES156A;2020-11-25-06.52.49.649000;07/12/2020
01;01;C;C01/QES159A;2020-11-25-06.56.04.770000;26/11/2020
01;01;C;C01/QES163;2020-11-25-06.56.04.890000;26/11/2020
01;01;C;C01/QES164;2020-11-25-06.59.20.045000;16/12/2020
01;01;C;C01/QES164A;2020-11-25-06.59.20.090000;16/12/2020
01;01;C;C01/QES168;2020-11-25-07.02.35.242000;26/11/2020
01;01;C;C01/QES170;2020-11-25-07.02.35.364000;26/11/2020
01;01;C;C01/QES170A;2020-11-25-07.02.35.445000;26/11/2020
01;01;C;C01/QES170B;2020-11-25-07.02.35.507000;01/12/2020
01;01;C;C01/QES170C;2020-11-25-07.02.35.542000;07/12/2020
01;01;C;C01/QES174;2020-11-25-07.05.50.677000;26/11/2020
01;01;C;C01/QES178;2020-11-25-07.09.05.839000;26/11/2020
01;01;C;C01/QES179;2020-11-25-07.12.21.013000;26/11/2020
01;01;C;C01/QES180;2020-11-25-07.12.21.143000;26/11/2020
01;01;C;C01/QES180A;2020-11-25-07.12.21.231000;30/11/2020
01;01;C;C01/QES183;2020-11-25-07.12.21.295000;26/11/2020
01;01;M;C01/QEG902D;2020-11-25-07.15.36.412000;14/12/2020
01;01;C;C01/QES188;2020-11-25-07.15.36.573000;26/11/2020
01;01;C;C01/QES188A;2020-11-25-07.15.36.656000;15/12/2020
01;01;C;C01/QES190;2020-11-25-07.15.36.734000;26/11/2020
01;01;C;C01/QES204;2020-11-25-07.22.06.918000;26/11/2020
01;01;C;C01/QES206;2020-11-25-07.22.06.969000;22/12/2020
01;01;M;C01/QDN594;2020-11-25-07.25.22.104000;09/12/2020
01;01;M;C01/QEB237C;2020-11-25-07.25.22.157000;10/12/2020
01;01;M;C01/QEH387;2020-11-25-07.25.22.198000;03/12/2020
01;01;M;C01/QEH522;2020-11-25-07.25.22.239000;16/12/2020
01;01;M;C01/QEJ723;2020-11-25-07.25.22.281000;11/12/2020
01;01;C;C01/QES219;2020-11-25-07.25.22.335000;26/11/2020
01;01;C;C01/QES223;2020-11-25-07.28.37.314000;08/12/2020
01;01;C;C01/QES226;2020-11-25-07.28.37.398000;26/11/2020
01;01;C;C01/QES226A;2020-11-25-07.28.37.469000;09/12/2020
01;01;M;F01/151893;2020-11-25-07.31.45.663000;26/11/2020
01;01;A;C01/PZY359A;2020-11-25-07.31.52.570000;16/11/2020
01;01;M;C01/QEE545;2020-11-25-07.31.52.695000;05/01/2021
01;01;M;C01/QEE545A;2020-11-25-07.31.52.742000;06/01/2021
01;01;C;C01/QES235;2020-11-25-07.31.52.801000;26/11/2020
01;01;C;C01/QES237;2020-11-25-07.31.52.874000;26/11/2020
01;01;M;C01/PLH020;2020-11-25-07.38.23.222000;26/11/2020
01;01;M;C01/PLH020B;2020-11-25-07.38.23.391000;26/11/2020
01;01;C;C01/QES258;2020-11-25-07.38.23.521000;26/11/2020
01;01;C;C01/QES263;2020-11-25-07.38.23.672000;26/11/2020
01;01;C;C01/QES270;2020-11-25-07.38.23.795000;02/12/2020
01;01;C;C01/QES274;2020-11-25-07.38.23.873000;26/11/2020
01;01;C;C01/QES275;2020-11-25-07.38.24.019000;26/11/2020
01;01;C;C01/QES281;2020-11-25-07.38.24.141000;04/12/2020
01;01;C;C01/QES284;2020-11-25-07.38.24.279000;26/11/2020
01;01;A;C01/PKM812F;2020-11-25-07.41.39.687000;30/10/2020
01;01;M;C01/QDH657C;2020-11-25-07.41.39.835000;14/12/2020
01;01;M;C01/QDU335H;2020-11-25-07.41.39.888000;09/12/2020
01;01;M;C01/QDU335I;2020-11-25-07.41.39.942000;14/12/2020
01;01;C;C01/QES286;2020-11-25-07.41.40.085000;26/11/2020
01;01;C;C01/QES299;2020-11-25-07.41.40.226000;26/11/2020
01;01;A;C01/GXM940C;2020-11-25-07.44.55.744000;28/02/2020
01;01;C;C01/NYN994B;2020-11-25-07.44.55.912000;26/11/2020
01;01;M;C01/QEH638A;2020-11-25-07.44.56.338000;04/12/2020
01;01;C;C01/QES321;2020-11-25-07.44.56.402000;26/11/2020
01;01;C;C01/QES321A;2020-11-25-07.44.56.452000;01/12/2020
01;01;C;C01/QES336;2020-11-25-07.44.56.557000;26/11/2020
01;01;C;C01/QES379;2020-11-25-07.48.12.249000;26/11/2020
01;01;C;C01/QES393;2020-11-25-07.48.12.443000;26/11/2020
01;01;M;C01/NZW288;2020-11-25-07.51.27.973000;04/01/2021
